Player,price
Rasmus Kristensen," £1,560,000.00 "
Raúl Jiménez," £1,560,000.00 "
Rayan Aït-Nouri," £1,560,000.00 "
Reece James," £1,560,000.00 "
Reiss Nelson," £1,560,000.00 "
Remo Freuler," £1,560,000.00 "
Renan Lodi," £1,560,000.00 "
Ricardo Pereira," £1,560,000.00 "
Richarlison," £1,560,000.00 "
Rico Henry," £1,560,000.00 "
Rico Lewis," £1,560,000.00 "
Riyad Mahrez," £1,560,000.00 "
Rob Holding," £1,560,000.00 "
Robert Sánchez," £1,560,000.00 "
Roberto Firmino," £1,560,000.00 "
Robin Koch," £1,560,000.00 "
Robin Olsen," £1,560,000.00 "
Rodri," £1,560,000.00 "
Rodrigo," £1,560,000.00 "
Rodrigo Bentancur," £1,560,000.00 "
Romain Perraud," £1,560,000.00 "
Roméo Lavia," £1,560,000.00 "
Rúben Dias," £1,560,000.00 "
Ruben Loftus-Cheek," £1,560,000.00 "
Rúben Neves," £1,560,000.00 "
Ryan Christie," £1,560,000.00 "
Ryan Fraser," £1,560,000.00 "
Ryan Fredericks," £1,560,000.00 "
Ryan Sessegnon," £1,560,000.00 "
Ryan Yates," £1,560,000.00 "
Saïd Benrahma," £1,560,000.00 "
Sam Greenwood," £1,560,000.00 "
Sam Johnstone," £1,560,000.00 "
Sam Surridge," £1,560,000.00 "
Saman Ghoddos," £1,560,000.00 "
Samuel Edozie," £1,560,000.00 "
Scott McKenna," £1,560,000.00 "
Scott McTominay," £1,560,000.00 "
Séamus Coleman," £1,560,000.00 "
Sean Longstaff," £1,560,000.00 "
Sékou Mara," £1,560,000.00 "
Sèrge Aurier," £1,560,000.00 "
Sergio Gómez," £1,560,000.00 "
Shandon Baptiste," £1,400,000.00 "
Shane Duffy," £1,400,000.00 "
Solly March," £1,400,000.00 "
Son Heung-Min," £1,400,000.00 "
Stefan Bajcetic," £1,400,000.00 "
Stefan Ortega," £1,400,000.00 "
Steve Cook," £1,400,000.00 "
Stuart Armstrong," £1,400,000.00 "
Sven Botman," £1,400,000.00 "
Taiwo Awoniyi," £1,400,000.00 "
Takehiro Tomiyasu," £1,400,000.00 "
Tariq Lamptey," £1,400,000.00 "
Tetê," £1,400,000.00 "
Theo Walcott," £1,400,000.00 "
Thiago Alcântara," £1,400,000.00 "
Thiago Silva," £1,400,000.00 "
Thilo Kehrer," £1,400,000.00 "
Thomas Partey," £1,400,000.00 "
Tim Ream," £1,400,000.00 "
Timothy Castagne," £1,400,000.00 "
Tom Cairney," £1,400,000.00 "
Tom Davies," £1,400,000.00 "
Tomás Soucek," £1,400,000.00 "
Tosin Adarabioyo," £1,400,000.00 "
Toti," £1,400,000.00 "
Trent Alexander-Arnold," £1,400,000.00 "
Trevoh Chalobah," £1,400,000.00 "
Tyler Adams," £1,400,000.00 "
Tyrell Malacia," £1,400,000.00 "
Tyrick Mitchell," £1,400,000.00 "
Tyrone Mings," £1,400,000.00 "
Vicente Guaita," £1,400,000.00 "
Victor Kristiansen," £1,400,000.00 "
Victor Lindelöf," £1,400,000.00 "
Virgil van Dijk," £1,400,000.00 "
Vitalii Mykolenko," £1,400,000.00 "
Vitaly Janelt," £1,400,000.00 "
Vladimír Coufal," £1,400,000.00 "
Wayne Hennessey," £1,400,000.00 "
Wesley Fofana," £1,400,000.00 "
Weston McKennie," £1,400,000.00 "
Wilfred Ndidi," £1,400,000.00 "
Wilfried Gnonto," £1,400,000.00 "
Wilfried Zaha," £1,400,000.00 "
Will Hughes," £1,400,000.00 "
William Saliba," £1,400,000.00 "
Willian," £1,400,000.00 "
Willy Boly," £1,400,000.00 "
Wout Faes," £1,400,000.00 "
Wout Weghorst," £1,400,000.00 "
Yasin Ayari," £1,400,000.00 "
Yerry Mina," £1,400,000.00 "
Yoane Wissa," £1,400,000.00 "
Youri Tielemans," £1,400,000.00 "
Yves Bissouma," £1,400,000.00 "
Zanka," £1,400,000.00 "
